Date,1. open,2. high,3. low,4. close,5. volume
2024-07-15,860.0,886.9,860.0,881.6,1981455.0
2024-07-12,856.7,863.4,855.5,859.65,905757.0
2024-07-11,854.7,858.0,849.55,856.55,481214.0
2024-07-10,861.0,861.0,843.3,849.1,479702.0
2024-07-09,860.0,869.9,855.85,860.95,758991.0
2024-07-08,859.5,864.8,852.9,856.25,1108215.0
2024-07-05,838.7,861.55,837.65,860.05,1499246.0
2024-07-04,844.6,844.6,834.5,839.25,674690.0
2024-07-03,829.7,843.8,825.05,840.1,1672011.0
2024-07-02,844.85,846.45,822.85,826.35,1099939.0
2024-07-01,850.0,850.55,839.95,842.1,1084488.0
2024-06-28,847.5,863.75,844.15,848.85,1916294.0
2024-06-27,845.05,847.4,838.4,844.15,473372.0
2024-06-26,841.8,848.6,836.0,845.05,543783.0
2024-06-25,838.65,845.75,834.95,841.85,538485.0
2024-06-24,832.75,836.05,820.85,832.65,2194566.0
2024-06-21,845.0,848.0,828.65,836.4,1667384.0
2024-06-20,853.95,853.95,842.4,843.8,513158.0
2024-06-19,846.05,860.5,841.05,852.6,1066899.0
2024-06-18,843.2,851.5,840.35,844.6,963912.0
2024-06-14,844.0,849.75,835.9,840.2,1706369.0
2024-06-13,845.0,845.75,836.0,843.9,815906.0
2024-06-12,837.7,845.25,833.0,839.15,610408.0
2024-06-11,836.75,839.45,829.1,835.25,890869.0
2024-06-10,834.9,846.0,829.0,832.15,1655324.0
2024-06-07,820.5,831.0,810.3,829.9,2139387.0
2024-06-06,802.75,833.1,795.7,816.95,1355824.0
2024-06-05,793.95,793.95,744.1,789.65,3953125.0
2024-06-04,905.8,905.8,734.25,775.2,7900395.0
2024-06-03,867.95,912.1,856.85,905.8,3819398.0
2024-05-31,831.8,834.45,817.1,830.1,1053768.0
2024-05-30,822.95,836.0,820.4,826.05,742252.0
2024-05-29,830.85,834.45,819.55,822.95,2180643.0
2024-05-28,836.8,840.45,823.65,830.9,445715.0
2024-05-27,833.5,839.4,823.0,834.1,1143699.0
2024-05-24,830.95,841.0,826.85,828.6,979447.0
2024-05-23,825.0,835.4,822.1,832.35,856598.0
2024-05-22,827.85,827.85,813.6,819.3,594888.0
2024-05-21,824.85,836.2,819.55,830.55,369412.0
2024-05-17,815.15,822.4,811.5,817.85,742324.0
2024-05-16,825.0,826.0,797.5,811.9,827240.0
2024-05-15,821.95,825.35,818.05,820.4,282771.0
2024-05-14,812.7,822.0,808.0,818.15,365478.0
2024-05-13,819.0,819.4,798.65,808.85,1305149.0
2024-05-10,828.7,832.1,815.7,818.35,855049.0
2024-05-09,813.45,839.6,803.55,819.65,1177161.0
